KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc
3241344,3.913,[ 0.29837086  1.91562516  0.03549841  0.17952563 -1.96591842  0.0173932 ],129673.54986317163,11.0,0.2193966936533669,0.1074980412925896,0.8451917638423194
3241619,1.703,[0.49515938 0.00717045 0.02655831 0.33405433 0.8926405  0.0281208 ],8256844.454704106,11.0,0.1641426966443825,0.1737996171349534,0.0424066238532484
3443790,1.666,[ 0.00190656 -0.0039774   0.01688216  0.00523938 -0.88063188  0.02372063],2284.4137853522207,11.0,0.1043395839225451,0.1466045207049604,0.1733801552109369
3964545,3.012,[ 0.19297263 -1.44761416  0.03046733  0.32620537  1.54012315  0.01502777],214758.62291072315,11.0,0.1883022803675222,0.0928786050598637,0.8439816177378584
4346875,4.694,[ 0.18467837  2.26755661  0.04187116  0.15566361 -2.38132439  0.01680915],8753.11428112403,11.0,0.2587832112017771,0.1038883293734249,0.8807785344092498
4358206,0.951,[0.03502617 0.42671616 0.01319087 0.04696769 0.40101094 0.01559388],207155.5903189223,11.0,0.0815257008229476,0.0963774394305825,0.7476156782562683
5025294,5.463,[ 0.00392492 -2.70782907  0.02425192  0.00746125  2.76730416  0.03022982],3123.4919815998783,11.0,0.149888131390421,0.186834363193344,0.7964807975546965
5113053,3.185,[ 0.42677772 -0.0068814   0.04026804  0.31175175  1.58032464  0.03782617],10405883.132309075,31.0,0.2488752096783956,0.2337832888614417,0.0313771366730031
5376836,3.479,[ 0.02137944 -1.67279852  0.04144019  0.02895136  1.76420379  0.01108832],9508.999080549616,21.0,0.2561196460072943,0.0685309587875027,0.9598419694043788
5527172,3.184,[ 0.0356352  -0.02752731  0.02365816  0.03544631  0.02456532  0.02320874],36975.66177254725,11.0,0.1462184046767032,0.1434408007914483,0.759759276335102
5649956,2.416,[ 0.04704399  1.19287318  0.0246846   0.06994311 -1.23559106  0.03261321],191217.91011371807,11.0,0.1525622781484465,0.2015647920008603,0.8054769719822058
6182849,6.399,[ 0.35900136  3.18131209  0.04132285  0.34006221 -3.19465036  0.03669309],4429050.872971972,11.0,0.2553943915573153,0.2267803675976081,0.7819979788938624
6311637,1.621,[ 0.11507457 -0.77487395  0.04526522  0.0922817   0.80864868  0.02583562],121674.20589110492,11.0,0.2797600815783203,0.1596761288876786,0.7973698087937916
6372268,5.22,"[ 2.63862456e-03 -2.69610877e+00  1.63217513e-01  1.07474731e-02
  2.63388657e+00  1.51642552e-02]",27289.818422463053,11.0,1.008760064668409,0.0937221425275103,1.165677963026175
6464285,0.844,[ 0.26273305  0.4208324   0.01815558  0.28545541 -0.41101802  0.02114452],4937179.618058829,11.0,0.1122099052913742,0.1306829505217215,0.7665683294089959
7199774,4.708,[ 0.0546197  -2.29975258  0.02829813  0.02220498  2.37437036  0.01173248],10330.602820553337,11.0,0.1748956213536647,0.0725121624928508,0.8777667188967938
7836330,0.658,[ 0.0187549  -0.31680729  0.01479524  0.05741908  0.35876737  0.01857465],55506.29926737504,11.0,0.0914414401311566,0.1147999684274005,0.8350690072078563
7985167,1.384,[ 0.08008717  0.66570422  0.02488746  0.28145834 -0.74511434  0.02875318],679127.9609874482,11.0,0.1538160546600786,0.1777080205306214,0.8190132237317334
8155368,0.719,[ 0.0453499  -0.34788381  0.01770253  0.26109357  0.41487624  0.03029573],127187.76870876932,11.0,0.1094098607239535,0.1872416736509048,0.9192381928196284
8374499,5.252,[ 0.31276827 -0.02317878  0.05054281  0.03361914 -2.59698492  0.02804424],244272.54446262916,11.0,0.3123780475916132,0.1733264486799512,0.2867137516356735
8616873,0.576,[ 0.02285608  0.31614351  0.02354083  0.00920438 -0.28172952  0.0132425 ],3411.401969744105,21.0,0.1454932855905283,0.0818447992096903,0.8902191907447754
8971432,0.624,[ 0.03632125  0.29531645  0.01844972  0.0643937  -0.34033399  0.0211857 ],21769.931818691686,21.0,0.1140278162376304,0.1309374781898148,0.8176448788201027
9098590,2.244,[ 0.07285865 -0.02817391  0.04485293  0.00108176  1.04546215  0.00845975],52375.53182904727,11.0,0.2772119293400324,0.0522851907551564,0.6834754114381778
9520700,4.274,[ 0.36570138  2.10368091  0.04076543  0.33164521 -2.15810467  0.03514313],5367677.56463705,21.0,0.2519492866511845,0.2172008543571664,0.7844137077786251
9711751,1.712,[ 0.15362569  0.83489634  0.02795055  0.16226328 -0.87104128  0.02543175],4609260.077375175,11.0,0.1727474088292713,0.1571800420544127,0.7812619451764446
10232123,1.344,[ 0.00440035  0.6434845   0.02151739  0.05020886 -0.71087899  0.015675  ],1299.189906032298,11.0,0.132987472844914,0.0968787978642009,0.8128338146559203
10422852,1.399,[ 0.05597469  0.65547977  0.03041645  0.11737517 -0.72960927  0.01669908],23046.11256002297,11.0,0.1879878043509342,0.1032080709977703,0.8229970047596763
10936427,14.361,[ 0.46780509 -7.03487217  0.11397538  0.2116557   7.19423123  0.0428494 ],1065477.85082359,11.0,0.7044207765200454,0.2648292015474514,0.8944794632416864
11076176,0.7,[ 0.39229144  0.32902407  0.02329773  0.85991348 -0.38274484  0.02303545],429975.49718149495,11.0,0.1439907775281281,0.1423698100033699,0.8118272839299966
11404698,0.59,[ 0.19265364  0.28454845  0.01540536  0.96956642 -0.34738608  0.0290316 ],1944192.120831372,11.0,0.095212271707944,0.1794287763849512,0.9480063053205052
11517719,2.496,[ 0.02581806 -1.17226751  0.0562649   0.02149848  1.28817896  0.0195109 ],21563.60938066951,31.0,0.3477431929512167,0.1205864224303239,0.9041375811208407
11968513,1.037,[ 0.08432816  0.48831463  0.02326866  0.22397837 -0.56696393  0.02565501],1842663.8308026448,21.0,0.1438111421263344,0.1585598564566896,0.8145473663541688
