KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc
1026032,8.46,[ 0.07812933  2.26244945  0.04337871  0.02914778 -1.74318439  0.04350769],2951.006688764064,51.0,0.2681006068367697,0.2688977090133932,0.0416852478225652
1575690,2.252,[ 0.02950996  0.80450508  0.0182425   0.01884038 -0.32071922  0.01701145],9277.545813167728,11.0,0.1127471025681776,0.1051386526329165,0.03492363781631
2019076,7.129,[ 0.09659386  1.30831479  0.03312043  0.05079151 -2.25549206  0.03398783],35414.44529315316,51.0,0.2046996506692195,0.2100605510713675,0.0129262031667804
2162994,4.102,[ 0.37759393  1.1185588   0.05230235  0.33016651 -0.93264833  0.05439028],467105.7113118874,11.0,0.3232528108501551,0.3361572258725298,0.0195697976874313
2305543,1.362,[ 0.10462281 -0.03593017  0.02410556  0.09946961  0.64501724  0.0248639 ],6358649.650780877,21.0,0.1489835486764703,0.15367044454568,0.0154861059555125
2306740,10.307,[ 0.35271549  1.91330409  0.0975391   0.31776121 -3.08074418  0.05551875],378708.1924886492,111.0,0.6028369803871148,0.3431316391461712,0.2756124406228312
2309587,1.839,[ 0.11045385  0.58485826  0.02866075  0.020957   -0.33542071  0.02429715],114747.04390544548,21.0,0.17713672826809,0.1501676926386282,0.0824000935227476
2437060,3.187,[ 0.09582923  0.38407361  0.05855909  0.01353786 -1.19633275  0.04439797],18513.082890847472,41.0,0.3619223720089033,0.2744000527710284,0.137695297047998
2438061,4.886,[ 0.00838988 -1.93242102  0.03686053  0.00449805  0.51165221  0.03422472],3495.0731826220867,41.0,0.2278152031736122,0.2115246823186726,0.0370811452458438
2441161,4.384,[ 0.088521    1.34222336  0.02790322  0.05657733 -0.85384312  0.02774502],94281.06655051504,51.0,0.1724548910433472,0.1714771167558335,0.0031945544350654
2445134,8.412,[ 0.14605518 -0.27671917  0.05121494  0.00763174  3.93563678  0.05197892],120338.9280890862,111.0,0.3165321176640936,0.3212538708061885,0.0074978823760013
2447893,0.662,[ 0.15301164 -0.07011811  0.01995855  0.09156768  0.26108377  0.01730845],1998340.132559441,21.0,0.1233531208124213,0.1069742504407867,0.0711128767324959
2449090,4.944,[ 0.07116123 -1.38265226  0.03966607  0.02217067  1.08980373  0.0356435 ],52451.844103448086,51.0,0.24515474783608,0.2202933627222156,0.0534140670043958
2557430,1.298,[ 0.04188168 -0.37812002  0.02524861  0.03202268  0.27190922  0.02467194],119799.27832431716,31.0,0.1560481233069045,0.1524840701435081,0.0116185969677501
2558370,1.092,[ 0.03815892  0.43440275  0.02086895  0.04271559 -0.11226484  0.02197849],97989.03478599062,41.0,0.1289798174795599,0.1358372817250047,0.0259128960176054
2569494,1.523,[ 0.0805278  -0.41461529  0.04232668  0.00649883  0.34473666  0.03782692],57017.51435607395,31.0,0.2615985749750703,0.2337879469568558,0.056182948394213
2580872,15.927,[ 0.28503222 -1.88790191  0.06443788  0.1793973   5.5287551   0.0982971 ],22126.738992434974,31.0,0.3982560250916043,0.6075217261554098,0.214939836677666
2711114,2.859,[ 0.00326092 -0.19652725  0.02251507  0.00220551  1.23396259  0.02156121],4671.790036243619,21.0,0.1391535629889958,0.1332583194150802,0.0216477515328436
2852560,11.961,[ 0.31518975  0.40089314  0.04019525  0.20072597 -3.01694469  0.06891508],10664.452234628528,11.0,0.2484253216718205,0.425927226169323,0.4272548464291213
2854948,0.974,[ 0.03386333  0.22059917  0.02068874  0.01226985 -0.26566723  0.01671159],25065.199556447147,21.0,0.127866022660719,0.1032853872509551,0.1063465571053008
2860788,5.26,[ 0.10207537  0.55440747  0.05961138  0.09506295 -2.07582447  0.05996774],73032.52127287688,11.0,0.368426008965365,0.3706285238023481,0.0029809838508049
2997455,1.13,[ 0.00463547  0.27481976  0.01940852  0.00048529 -0.28561574  0.01620876],2796.899567541556,21.0,0.1199536630060876,0.1001776668886482,0.0900610535471326
3003991,7.245,[ 0.09529337  0.34712996  0.03381731  0.00472168 -3.27636066  0.03398631],26770.75185201636,41.0,0.2090066812119807,0.2100511876368358,0.00250174756548
3097352,4.03,[ 0.08930771  1.29521757  0.04291925  0.00434048 -0.722077    0.03692752],56844.31647939656,71.0,0.2652609261844389,0.228229212344474,0.075045762914384
3102024,13.783,[0.24037296 5.15874442 0.0721008  0.16440141 1.00206757 0.02642456],72249.82368907442,41.0,0.4456164627739909,0.1633160704554243,0.5586292825405063
3114667,0.889,[ 0.18255583  0.07931497  0.02246905  0.13498449 -0.3654646   0.02168862],729767.352423276,21.0,0.1388691617466847,0.1340457238079848,0.0176806829444782
3115480,3.694,[ 0.02533912 -0.01260566  0.03094948  0.01335485  1.83278826  0.02676534],13102.230943752296,11.0,0.1912821830606822,0.1654222598075176,0.0724999960520985
3120320,10.266,[ 0.15443211 -4.58238939  0.05105166  0.01420041  0.78689262  0.05291468],200136.356105331,21.0,0.3155229879258403,0.3270373173864114,0.0403506617408892
3122985,0.993,[ 0.02313676  0.10349644  0.01969208  0.00177449 -0.39257415  0.01626266],11025.453059057654,21.0,0.1217062097716275,0.100510810557555,0.0953839479360599
3248019,2.668,[ 0.04932549  0.21844278  0.02833364  0.04859746 -1.11541851  0.02796577],14803.47432301334,41.0,0.175115081337645,0.1728414496420356,0.0065347509525423
3335816,7.422,[ 0.0237543   0.81676553  0.03386362  0.01217345 -2.89335443  0.03310276],3934.7843118608735,11.0,0.2092928854711959,0.2045904170819321,0.0113633484335249
3344427,0.652,[ 0.24224868 -0.08246843  0.02012843  0.15258838  0.24411543  0.01803609],5109067.535712024,21.0,0.1244030278402337,0.1114714252595079,0.0548421333268415
3348093,7.964,[ 0.26634561  1.21189641  0.0255083   0.20129272 -2.7331678   0.03872978],70073.36578377194,21.0,0.1576531481496399,0.2393680592350699,0.2059489053252893
3427776,4.017,[ 0.03979843 -1.28983497  0.02149752  0.01339172  0.718481    0.01973902],11106.001923373968,21.0,0.132864665041251,0.121996309981345,0.0426443104273345
3449540,3.212,[ 0.40579215  0.9820012   0.04075598  0.40183069 -0.62406883  0.04052413],249344.96930892183,61.0,0.2518909214251066,0.2504579729352458,0.0028527021370839
3458919,0.892,[ 0.07678386  0.305017    0.02011167  0.052364   -0.14189545  0.01941068],362184.3700354856,31.0,0.1242994736136765,0.119967048574488,0.0178091012622485
3459199,3.141,[ 0.0027469  -0.7621673   0.02960852  0.00151411  0.80992778  0.02660354],4877.366693233261,21.0,0.1829943904517286,0.1644222460251854,0.0534637954422137
3542573,6.943,[ 0.09791189 -0.6735238   0.04594427  0.09556211  2.79760586  0.04555604],48972.13147363493,11.0,0.2839569057248789,0.2815574921962254,0.0042437139428419
3543270,4.177,[ 0.06748936  1.68355184  0.04432548  0.02527813 -0.40531081  0.04077175],28233.93044804437,61.0,0.2739520623193114,0.2519883556398595,0.0417610494441493
3544694,3.846,[ 0.1078318   0.80019131  0.03378535  0.05730961 -1.12571303  0.03226058],72511.27416387833,41.0,0.2088091387478681,0.1993853681304416,0.0231169247106553
3547315,1.285,[ 0.02569422  0.34839913  0.01919564  0.01986154 -0.29538255  0.01912863],8646.806082810082,41.0,0.118637986684685,0.1182238263442333,0.0023477749410797
3654950,8.135,[ 0.06719011  1.1550491   0.05287049  0.06272223 -2.9104441   0.05256018],41305.456230459706,71.0,0.3267641658916599,0.3248463225808535,0.0029686343771266
3659940,0.896,[ 0.0529527   0.15873059  0.01788972  0.02448579 -0.28316945  0.01506352],33864.298398239844,21.0,0.1105667913703739,0.0930995830053978,0.0864279789454592
3662635,0.939,[ 0.08648676 -0.4286839   0.02264138  0.07128664  0.04006221  0.02013605],174999.76462638905,21.0,0.1399342714632668,0.124450142250897,0.0585803017036203
3749508,1.066,[ 0.00347063 -0.22617725  0.01524893  0.00277532  0.30554959  0.01578166],2292.568592267788,21.0,0.094245476266953,0.0975380173557344,0.0172702107734163
3834364,2.908,[ 0.06536019  0.80554885  0.02401055  0.00834936 -0.64718608  0.02054156],7048.565030947962,21.0,0.148396361568631,0.1269564036508181,0.0778665997984077
3838496,5.98,[ 0.25974666 -2.24827447  0.06715932  0.19494909  0.74513837  0.06556616],50698.47831992825,111.0,0.4150758184330323,0.4052293531345734,0.0120368469462114
3848919,1.047,[ 0.40039821  0.258285    0.02906468  0.35000525 -0.26491174  0.02737383],5832356.215406371,91.0,0.1796332552065006,0.1691830163731538,0.0299626041843688
3848972,0.741,[ 0.00189719 -0.30475271  0.01118757  0.00166371  0.06541647  0.01078907],1971.305277320309,31.0,0.0691443880414335,0.0666814550222162,0.0181465782367342
3865298,9.531,[ 0.31322244 -3.66860374  0.04995801  0.30844689 -0.28701417  0.05130643],97966.52531237382,11.0,0.308763689446681,0.3170975536555014,0.2284695188189194
3957477,0.979,[ 0.04738916  0.41839506  0.0269107   0.03401446 -0.07127054  0.02528104],205964.64561567307,31.0,0.1663206312676835,0.1562485615886495,0.0312256551288091
3965242,0.997,[ 0.0173885   0.39565144  0.01298565  0.0019516  -0.10299335  0.01040532],12526.515124602758,11.0,0.0802573451739744,0.0643097108542352,0.1103132958374112
3973002,3.984,[ 0.07924502 -0.6123727   0.03644544  0.06418384  1.38007996  0.03675466],5911.537860103206,51.0,0.2252497382285203,0.2271608616889859,0.0042280804164256
3973504,4.319,[ 0.05893891  0.70574692  0.02502136  0.01367559 -1.45277225  0.01773634],18415.7722845951,11.0,0.1546436377150428,0.1096188372314448,0.1703794652592043
4035675,2.874,[ 0.04583394  1.06819     0.01905237  0.00361244 -0.36918298  0.01229152],22929.977108417403,11.0,0.1177524843796993,0.0759672999076902,0.2156992032905463
4049124,4.804,[ 0.14090596 -0.31068817  0.03338655  0.00653768  2.10600851  0.03431052],29486.26623683516,51.0,0.206344404592952,0.2120549775630811,0.0144698759493676
4069063,0.504,[ 0.00475883 -0.10763235  0.01296653  0.00256475  0.14463419  0.01097363],13740.442164935484,11.0,0.0801391979712841,0.0678221045267137,0.0832495151558399
4078693,2.757,[ 0.00339738 -1.29665636  0.01530303  0.00136841  0.07894692  0.01287396],2638.6928623487165,21.0,0.0945798227219478,0.0795670495094113,0.0862233353332385
4149684,4.321,[ 0.07575052  1.53875896  0.03877851  0.01196429 -0.6119308   0.03777643],99097.06639318854,51.0,0.2396692069502251,0.2334758965657282,0.0135667849745596
4174507,3.892,[ 0.0120358   1.53003236  0.02616771  0.00713336 -0.41134384  0.02631877],9847.19008091695,31.0,0.1617285988505901,0.1626622307438844,0.0034301623131521
4275739,4.344,[ 0.0443489  -1.63981736  0.02956231  0.03948918  0.53191692  0.02956003],7019.969921327583,41.0,0.1827088097650779,0.1826947306935369,0.0001035238509098
4285087,4.486,[ 0.27532468  1.93881873  0.03775616  0.26504897 -0.30436584  0.03772586],467267.8294604763,11.0,0.2333506226824948,0.2331633571758388,0.0004065835717413
4352168,10.644,[ 0.43582762  3.42948017  0.05344176  0.1240134  -2.94724595  0.04181954],77050.94624997946,11.0,0.3302949092696225,0.2584641742433646,0.1977686209977867
4357272,2.086,[ 0.01997076 -0.5875902   0.03086347  0.01507641  0.4443953   0.03077006],13010.39398719214,31.0,0.1907505672549062,0.1901732392171934,0.0084314597694175
4380283,1.745,[ 0.30550042 -0.35617939  0.03236784  0.228741    0.51632844  0.03292722],152550.78023309357,101.0,0.2000482624278575,0.2035054901117103,0.0085669599935632
4386047,2.901,[ 0.16471438 -0.50931516  0.03669703  0.00748247  0.9414178   0.0316384 ],19683.50231532529,41.0,0.2268046760666593,0.1955400369232023,0.0740264612498775
4454219,2.451,[ 0.1045067  -0.80633577  0.0202234   0.0954764   0.41806465  0.02026677],3588.136088925779,11.0,0.1249900369022791,0.1252580450259039,0.0012820212191086
4456622,1.503,[ 0.02045224 -0.25230385  0.02173901  0.01366752  0.49970166  0.02080969],57771.98328006621,41.0,0.1343571855765466,0.128613557636803,0.0218477078606127
4480676,1.424,[ 0.00661089 -0.13549321  0.018178    0.00618961  0.5747696   0.01868147],1351.6074619283158,31.0,0.1123484834326891,0.1154601748871237,0.0137929956245508
4579321,2.112,[ 0.18058333  0.71049561  0.02366299  0.06556263 -0.34553344  0.02296554],11145.019292406658,41.0,0.1462482630852,0.1419377277664625,0.0149574925591716
4678171,15.289,[ 0.51804129  1.29375783  0.04119893  0.24956742 -6.38443768  0.04201892],5967.505726391354,11.0,0.2546285517485027,0.2596964174808125,0.0104438865776698
4737267,9.524,[ 0.3565386  -1.42289744  0.11093788  0.08673891  3.26667039  0.06373209],573085.6460592616,11.0,0.6856476353942744,0.3938939478390511,0.270520919956735
4751083,4.532,[ 0.04293587  0.15161424  0.03101523  0.01706138 -2.07894772  0.03017068],9546.946656597403,51.0,0.1916885549474645,0.1864688496317843,0.0184767828463469
4753988,7.304,[ 0.14151149  3.51401376  0.03687307  0.05084089 -0.16224627  0.03596641],8828.664958660529,101.0,0.2278927014650298,0.2222891537747329,0.0134965196622577
4757331,2.362,[ 0.06253637 -0.56852613  0.02465893  0.04332414  0.61205798  0.0246133 ],2640.189200066412,41.0,0.1524036722896244,0.1521216483044087,0.0009665270188137
4832197,1.895,[ 0.01220009 -0.46639331  0.01677916  0.01076657  0.47953287  0.01646581],8369.172475176461,21.0,0.1037029983811044,0.1017663326690185,0.0095154234337441
4839180,8.853,[ 0.29602711  0.41384813  0.05259309  0.18287311 -4.02679688  0.0535063 ],91972.67006566796,111.0,0.3250497610925559,0.3306938070438421,0.0089655432508325
4840263,1.916,[ 0.13744993 -0.05831672  0.03229923  0.07016819  0.90013424  0.03133063],208235.7381227083,31.0,0.1996242458901037,0.1936378413727495,0.0152269187998374
4840818,10.05,[ 0.05411619  1.60728425  0.03793792  0.02672116 -3.41726078  0.03754484],3631.2699851510415,11.0,0.2344739894122502,0.2320445447549612,0.0052080913577014
4902030,1.758,[ 0.52518524  0.75024029  0.0230431   0.2899673  -0.12873592  0.02341024],51765.0378522035,31.0,0.1424170869598966,0.144686187838565,0.0079034594395292
4908495,3.12,[ 0.26133228  0.85822711  0.0297724   0.20743287 -0.70340756  0.02977443],345255.4772666999,31.0,0.1840072771007752,0.1840198005879951,0.000823692715502
4935914,3.486,[ 0.05436427 -0.24061559  0.0243999   0.00603611  1.50320422  0.01382627],2374.9164284080166,11.0,0.1508027333196957,0.08545277452497,0.2766073801545142
4940201,8.817,[ 0.04030373  2.77297008  0.03522651  0.01898036 -1.62699464  0.03666164],1900.750719852313,11.0,0.2177162285133596,0.2265859658012945,0.0200211269321945
4947726,4.726,[ 0.18862358  1.4110809   0.03941708  0.01503075 -0.71306953  0.03126539],12631.659531876829,51.0,0.2436158816558173,0.1932346130887443,0.1400106128013818
4948863,8.644,[ 0.06945663 -0.32592139  0.02899368  0.0151837   4.02178183  0.02884055],1931.975247818713,11.0,0.1791944159906628,0.1782480213168735,0.0053690543825089
