KIC,Porb,sol,chi_fit,window,dur1,dur2,ecc,tmask,rmask
1026032,8.46,[ 0.07812933  2.26244945  0.04337871  0.02914778 -1.74318439  0.04350769],2951.0066887640637,51.0,0.26810060683676973,0.26889770901339327,0.04168524782256527,[False False False ... False False False],[ True  True  True ...  True  True  True]
1161345,8.575,"[ 9.47933186e-04 -7.92262573e-02  1.86605722e-02  7.44534374e-04
  4.19944194e+00  1.63795237e-02]",3146.9011094541847,11.0,0.11533100622656176,0.10123306674573485,0.06511833796580441,"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False  True  True
  True  True  True  True False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False  True  True  True  True  True  True False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False]","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True False False
 False False False False  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False False False False False False  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True]"
1575690,2.252,[ 0.02950996  0.80450508  0.0182425   0.01884038 -0.32071922  0.01701145],9277.545813167728,11.0,0.11274710256817766,0.10513865263291655,0.034923637816310034,[False False False ...  True  True False],[ True  True  True ... False False  True]
2019076,7.129,[ 0.09659386  1.30831479  0.03312043  0.05079151 -2.25549206  0.03398783],35414.445293153156,51.0,0.20469965066921958,0.21006055107136756,0.012926203166780469,[False False False ... False False False],[ True  True  True ...  True  True  True]
2162994,4.102,[ 0.37759393  1.1185588   0.05230235  0.33016651 -0.93264833  0.05439028],467105.7113118874,11.0,0.3232528108501551,0.33615722587252983,0.019569797687431303,[False False False ... False False False],[ True  True  True ...  True  True  True]
2167890,2.648,[],,,,,,[],[]
2305543,1.362,[ 0.10462281 -0.03593017  0.02410556  0.09946961  0.64501724  0.0248639 ],6358649.650780877,21.0,0.14898354867647032,0.15367044454568002,0.015486105955512506,[ True  True  True ... False False False],[False False False ...  True  True  True]
2306740,10.307,[ 0.35271549  1.91330409  0.0975391   0.31776121 -3.08074418  0.05551875],378708.19248864916,111.0,0.6028369803871148,0.3431316391461712,0.27561244062283125,[False False False ... False False False],[ True  True  True ...  True  True  True]
2307199,13.447,"[ 7.10053370e-04  1.31985326e+00  1.85422664e-02  5.07644666e-04
 -6.69045610e-01  9.45239065e-03]",1727.671778892603,11.0,0.11459982120183554,0.058420165915312516,0.6413373658092528,[False False False ... False False False],[ True  True  True ...  True  True  True]
2309587,1.839,[ 0.11045385  0.58485826  0.02866075  0.020957   -0.33542071  0.02429715],114747.04390544549,21.0,0.17713672826809007,0.15016769263862828,0.08240009352274764,[False False False ... False False False],[ True  True  True ...  True  True  True]
